"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","M0",0.246419235707927,0.0117296930673825,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","S0",0.753580764292073,0.0117296930673825,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M0",0.251048256461797,0.00869963361767357,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","S0",0.748951743538203,0.00869963361767357,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","M0",0.191659041190617,0.0189716568671875,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","S0",0.808340958809383,0.0189716568671875,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M0",0.195852211863207,0.0101666401043491,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","S0",0.804147788136793,0.0101666401043491,15
"ct","1 Day","New","ct_New_1 Day","PE p","M0",0.227781121566371,0.00527218367321108,15
"ct","1 Day","New","ct_New_1 Day","PE p","S0",0.772218878433629,0.00527218367321108,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","M0",0.225056156892318,0.00863620947168239,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","S0",0.774943843107681,0.0086362094716824,17
"ct","19 Day","New","ct_New_19 Day","PE p","M0",0.180248973529704,0.00574335749778017,13
"ct","19 Day","New","ct_New_19 Day","PE p","S0",0.819751026470296,0.00574335749778017,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","M0",0.190731937821142,0.00791293645874703,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","S0",0.809268062178858,0.00791293645874703,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M0",0.246696329016821,0.00760932066550289,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","S0",0.753303670983179,0.00760932066550288,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M0",0.173430830607537,0.00364565248982836,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","S0",0.826569169392463,0.00364565248982835,16
"syd","1 Day","New","syd_New_1 Day","PE p","M0",0.243565994030305,0.00822646726911628,13
"syd","1 Day","New","syd_New_1 Day","PE p","S0",0.756434005969695,0.00822646726911627,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","M0",0.233445982216197,0.00806094508112044,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","S0",0.766554017783803,0.00806094508112044,18
"syd","19 Day","New","syd_New_19 Day","PE p","M0",0.180706974704836,0.00669114992688183,16
"syd","19 Day","New","syd_New_19 Day","PE p","S0",0.819293025295164,0.00669114992688183,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","M0",0.190212497831214,0.00641113065092971,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","S0",0.809787502168786,0.0064111306509297,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L0",0.361076173748794,0.0150424579929161,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","L1",0,0,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M0",0.0945228220454007,0.0107579094201176,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M1",0.0764767015995626,0.00562698178474534,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","MX",8.56625012386746e-05,8.56625012386746e-05,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","S0",0.467838640105004,0.0136429533906592,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L0",0.35022920793153,0.0064033616713915,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L1",0,0,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M0",0.0736472718414488,0.00815400045843026,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M1",0.0697227804974608,0.00270149904326787,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","MX",0.00509627075271875,0.0034833692730235,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","S0",0.501304468976841,0.00765638952334303,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","L0",0.389359810849004,0.0123015021263121,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","L1",0.00124848305876518,0.00124848305876518,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M0",0.0260836044562787,0.0126524215564246,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M1",0.202975359754182,0.0195633620684085,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","MX",0,0,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","S0",0.38033274188177,0.0253888539535446,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L0",0.402181463417761,0.011413825106094,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L1",0,0,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M0",0.0238537354244871,0.00689342199039335,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M1",0.209733512143687,0.0101111565025052,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","MX",0,0,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","S0",0.364231289014064,0.0147944195957345,15
"ct","1 Day","New","ct_New_1 Day","PE e","L0",0.358120576511407,0.00776959342237562,15
"ct","1 Day","New","ct_New_1 Day","PE e","L1",0,0,15
"ct","1 Day","New","ct_New_1 Day","PE e","M0",0.0920244843990061,0.0129082350912264,15
"ct","1 Day","New","ct_New_1 Day","PE e","M1",0.0646674388752738,0.00231414202191197,15
"ct","1 Day","New","ct_New_1 Day","PE e","MX",5.10814980330008e-05,5.10814980330008e-05,15
