"","Name","SubClass","Abundance"
"386","TG(4:0_16:0_20:5) +NH4","TG","(0.020,15)(0.000,0)"
"387","TG(4:0_16:0_22:5) +NH4","TG","(0.030,8)(0.000,9)"
"388","TG(4:0_16:1_14:0) +NH4","TG","(0.010,5)(0.030,7)"
"389","TG(4:0_16:1_16:0) +NH4","TG","(0.260,8)(0.250,6)"
"390","TG(4:0_16:1_16:1) +NH4","TG","(0.070,12)(0.140,13)"
"391","TG(4:0_16:1_18:1) +NH4","TG","(0.000,7)(0.000,0)"
"392","TG(4:0_16:1_18:3)","TG","(0.020,5)(0.060,10)"
"393","TG(4:0_18:1_16:0) +NH4","TG","(0.300,1)(0.010,2)"
"394","TG(4:0_18:1_16:1) +NH4","TG","(0.600,14)(0.220,12)"
"395","TG(4:0_18:1_17:0) +NH4","TG","(0.060,15)(0.020,13)"
"396","TG(4:0_18:1_18:0) +NH4","TG","(0.000,0)(0.000,1)"
"397","TG(4:0_18:1_18:2) +NH4","TG","(0.000,2)(0.000,3)"
"398","TG(4:0_18:1_18:4)","TG","(0.020,12)(0.020,12)"
"399","TG(4:0_18:1_20:0) +NH4","TG","(0.000,2)(0.000,0)"
"400","TG(4:0_18:2_16:1) +NH4","TG","(0.100,14)(0.000,7)"
"401","TG(4:0_18:2_18:2) +NH4","TG","(0.050,13)(0.000,16)"
"402","TG(4:0_18:2_18:3) +NH4","TG","(0.010,14)(0.000,0)"
"403","TG(4:0_18:3_16:1) +NH4","TG","(0.030,12)(0.000,16)"
"404","TG(4:0_18:3_18:0) +NH4","TG","(0.060,7)(0.000,9)"
"405","TG(4:0_18:3_18:3)","TG","(0.010,6)(0.000,15)"
"406","TG(41:6) +NH4","TG","(0.000,2)(0.000,0)"
"407","TG(6:0_11:3_23:0) +NH4","TG","(0.000,1)(0.000,0)"
"408","TG(6:0_12:1_18:3)","TG","(0.010,11)(0.010,6)"
"409","TG(6:0_18:1_18:2) +NH4","TG","(0.000,14)(0.000,13)"
"410","TG(8:0_11:2_22:6)","TG","(0.000,5)(0.000,15)"
"411","TG(9:0_18:1_16:0) +NH4","TG","(0.040,12)(0.020,16)"
"412","TG(14:1e_11:3_18:2) +NH4","TG e","(0.000,7)(0.000,0)"
"413","TG(18:0e_16:0_16:1) +NH4","TG e","(0.000,2)(0.000,4)"
"414","TG(18:0e_16:0_18:1) +NH4","TG e","(0.000,0)(0.000,1)"
"415","TG(18:0e_16:1_18:1) +NH4","TG e","(0.000,1)(0.000,3)"
"416","TG(18:3e_17:0_19:0) +NH4","TG e","(0.000,4)(0.000,4)"
"417","TG(20:0e_16:0_18:1) +NH4","TG e","(0.000,8)(0.000,4)"
"418","TG(20:0e_16:1_18:1) +NH4","TG e","(0.000,2)(0.000,2)"
"419","TG(20:0e_18:1_18:1) +NH4","TG e","(0.000,13)(0.000,4)"
"420","TG(32:1e)","TG e","(0.130,14)(0.090,16)"
"421","TG(34:2e)","TG e","(0.160,14)(0.040,8)"
