std_conc,CL 72:4,DG 36:2,PC 36:2,PE 32:1,TG 54:3
0.01,32728.8510627529,118872.893794653,500952.969591432,281917.402709023,1802622.66921782
0.1,1267120.64642787,696322.140140203,7702057.81289421,3971946.85962568,14748730.177066
1,27442533.0861727,20223958.5122187,295331322.739899,68716031.1925675,241305228.791778
10,2646654163.35714,1095270577.28876,2434837375.08998,1922802447.60737,12727032020.5158
