"","Line","Time","Age","neutrallipids","NLetherlipids","phospholipids","PLetherlipids"
"1","s06","Older","1 Day","36.48±2.67"," 1.62±0.07","57.64±2.52"," 4.27±0.19"
"2","s06","Older","19 Day","30.05±2.04"," 0.61±0.13","65.90±1.84"," 3.45±0.18"
