"","Line","Time","Age","CL","DG","DG e","LPC","PC","PC e","PE","PE e","PE p","PG","PI","PS","PS e","TG","TG e"
"1","s06","Older","1 Day"," 4.11±0.16"," 0.37±0.05"," 1.32±0.06"," 1.26±0.14"," 9.02±0.40"," 0.01±0.00","29.11±1.43"," 1.74±0.07"," 2.38±0.12"," 3.52±0.23"," 7.22±0.25"," 3.40±0.24"," 0.14±0.01","36.11±2.67"," 0.30±0.03"
"2","s06","Older","19 Day"," 5.11±0.16"," 0.36±0.04"," 0.46±0.13"," 1.96±0.16"," 8.56±0.21"," 0.03±0.00","36.05±1.14"," 1.22±0.09"," 2.15±0.09"," 4.71±0.14"," 5.37±0.20"," 4.14±0.36"," 0.04±0.01","29.68±2.06"," 0.15±0.02"
