"Class2","Intercept","Slope"
"CL",5.997662804281747,1.5208905329686937
"DG",5.584588589205953,1.3321294039898781
"LPC",6.36872571452152,1.2122415958791577
"PC",6.778407435712386,1.1689287545545386
"PE",5.982430307120748,1.1788284180764323
"PE p",6.180345857693483,1.2299972114459086
"PG",5.253371292481298,1.1814820415800324
"PI",5.678706877425613,1.2340812234653955
"PS",5.727969877609364,1.2291007452846339
"TG",6.790227888824575,0.9593664415876552
