"id","term","sumsq","df","statistic","p.value","Stars","type"
"1 Day","(Intercept)",60.50288880119994,1,694.0580319122954,8.646872631374191e-47,"***","PEPC"
"1 Day","as.numeric(Weight)",1.2087426257718672,1,13.866073910756539,3.248785194760275e-4,"***","PEPC"
"1 Day","LineTime",4.0326277843290494,6,7.710038751545671,8.000933661478405e-7,"***","PEPC"
"1 Day","Residuals",8.717266571283679,100,NA,NA,NA,"PEPC"
"19 Day","(Intercept)",56.61319823538351,1,255.18306342028976,2.102616397188113e-28,"***","PEPC"
"19 Day","as.numeric(Weight)",1.9764309821939925,1,8.908730267773725,0.0036260337313816023,"**","PEPC"
"19 Day","LineTime",0.8011018160731105,6,0.6018255516058728,0.7282067196733711,"","PEPC"
"19 Day","Residuals",20.63235453529727,93,NA,NA,NA,"PEPC"
