"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"ct","1 Day","Old","ct_Old_1 Day","PE e","0",0.470724926065537,0.00222084656196423,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","1",0.0865923395320665,0.00485963960097093,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","X",0.442682734402397,0.0028966567981243,17
"ct","19 Day","New","ct_New_19 Day","PE e","0",0.395694476317624,0.0061133151184547,13
"ct","19 Day","New","ct_New_19 Day","PE e","1",0.272236613919231,0.0129966709297735,13
"ct","19 Day","New","ct_New_19 Day","PE e","X",0.332068909763146,0.0071299340459903,13
"ct","19 Day","Old","ct_Old_19 Day","PE e","0",0.390512069032114,0.00484021569212426,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","1",0.284198710368187,0.00954486449955302,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","X",0.325289220599699,0.00511065805861146,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","0",0.468546979044056,0.00175891478089244,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","1",0.0909957159875572,0.00438928190765465,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","X",0.440457304968386,0.00270292828561897,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","0",0.397201765682636,0.00353148835449951,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","1",0.271607417123495,0.00747071626028984,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","X",0.331190817193869,0.00412444758680327,16
"syd","1 Day","New","syd_New_1 Day","PE e","0",0.461751206686728,0.00243575990514423,13
"syd","1 Day","New","syd_New_1 Day","PE e","1",0.106931374348788,0.00573573393274314,13
"syd","1 Day","New","syd_New_1 Day","PE e","X",0.431317418964483,0.00347817612515782,13
"syd","1 Day","Old","syd_Old_1 Day","PE e","0",0.469175659745584,0.00157276133283442,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","1",0.0881908385578539,0.00359420600700084,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","X",0.442633501696562,0.00220258678484058,18
"syd","19 Day","New","syd_New_19 Day","PE e","0",0.389344719563997,0.0040546197807484,16
"syd","19 Day","New","syd_New_19 Day","PE e","1",0.284230039234986,0.00938077513164401,16
"syd","19 Day","New","syd_New_19 Day","PE e","X",0.326425241201017,0.0054768321018146,16
"syd","19 Day","Old","syd_Old_19 Day","PE e","0",0.391693826138501,0.00336357460105753,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","1",0.285663048228592,0.00685994718914082,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","X",0.322643125632906,0.00373182396682979,15
"cbr","1 Day","New","cbr_New_1 Day","PC e","0",0.5,0,11
"cbr","1 Day","New","cbr_New_1 Day","PC e","1",0.5,0,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC e","0",0.5,0,17
"cbr","1 Day","Old","cbr_Old_1 Day","PC e","1",0.5,0,17
"cbr","19 Day","New","cbr_New_19 Day","PC e","0",0.5,0,10
"cbr","19 Day","New","cbr_New_19 Day","PC e","1",0.5,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC e","0",0.5,0,15
"cbr","19 Day","Old","cbr_Old_19 Day","PC e","1",0.5,0,15
"ct","1 Day","New","ct_New_1 Day","PC e","0",0.5,0,15
"ct","1 Day","New","ct_New_1 Day","PC e","1",0.5,0,15
"ct","1 Day","Old","ct_Old_1 Day","PC e","0",0.5,0,17
"ct","1 Day","Old","ct_Old_1 Day","PC e","1",0.5,0,17
"ct","19 Day","New","ct_New_19 Day","PC e","0",0.5,0,13
"ct","19 Day","New","ct_New_19 Day","PC e","1",0.5,0,13
"ct","19 Day","Old","ct_Old_19 Day","PC e","0",0.5,0,16
"ct","19 Day","Old","ct_Old_19 Day","PC e","1",0.5,0,16
"s06","1 Day","Older","s06_Older_1 Day","PC e","0",0.5,0,16
"s06","1 Day","Older","s06_Older_1 Day","PC e","1",0.5,0,16
"s06","19 Day","Older","s06_Older_19 Day","PC e","0",0.5,0,16
"s06","19 Day","Older","s06_Older_19 Day","PC e","1",0.5,0,16
"syd","1 Day","New","syd_New_1 Day","PC e","0",0.5,0,12
"syd","1 Day","New","syd_New_1 Day","PC e","1",0.5,0,12
"syd","1 Day","Old","syd_Old_1 Day","PC e","0",0.5,0,18
"syd","1 Day","Old","syd_Old_1 Day","PC e","1",0.5,0,18
"syd","19 Day","New","syd_New_19 Day","PC e","0",0.5,0,16
"syd","19 Day","New","syd_New_19 Day","PC e","1",0.5,0,16
"syd","19 Day","Old","syd_Old_19 Day","PC e","0",0.5,0,15
"syd","19 Day","Old","syd_Old_19 Day","PC e","1",0.5,0,15
"cbr","1 Day","New","cbr_New_1 Day","TG e","0",0.453065207896884,0.0407408137356274,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","1",0.519612061593059,0.0501171789258987,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","X",0.0273227305100569,0.0216932315711731,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","0",0.388814900583615,0.0197530297373,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","1",0.559828332831757,0.037186793564371,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","X",0.0513567665846278,0.0196437548386643,17
"cbr","19 Day","New","cbr_New_19 Day","TG e","0",0.571979901776339,0.0330920980353865,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","1",0.302456267236968,0.0576978346122065,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","X",0.125563830986692,0.0397908482134783,9
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","0",0.508336452582015,0.0399234204756019,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","1",0.452704986959768,0.0495493196782472,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","X",0.038958560458217,0.0198079378192984,15
"ct","1 Day","New","ct_New_1 Day","TG e","0",0.403445769991731,0.0271307489731263,14
"ct","1 Day","New","ct_New_1 Day","TG e","1",0.585697015547018,0.027108440098967,14
"ct","1 Day","New","ct_New_1 Day","TG e","X",0.0108572144612507,0.00744360662516924,14
"ct","1 Day","Old","ct_Old_1 Day","TG e","0",0.397697646298226,0.0228052030639296,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","1",0.569632536595428,0.0245540377708548,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","X",0.0326698171063462,0.0212084264959106,17
"ct","19 Day","New","ct_New_19 Day","TG e","0",0.498417415984753,0.0378782303973507,13
"ct","19 Day","New","ct_New_19 Day","TG e","1",0.42058594927337,0.0590623518822983,13
"ct","19 Day","New","ct_New_19 Day","TG e","X",0.080996634741877,0.0263133947953646,13
"ct","19 Day","Old","ct_Old_19 Day","TG e","0",0.527633495383572,0.0366280537489796,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","1",0.386535912313802,0.0598339339643015,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","X",0.0858305923026263,0.0325317528410921,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","0",0.390120359209463,0.0418041971400894,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","1",0.462432704460371,0.0328830247387282,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","X",0.147446936330166,0.0489524750393279,15
"s06","19 Day","Older","s06_Older_19 Day","TG e","0",0.513470740312381,0.0398629344492177,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","1",0.407840545669461,0.06593994511424,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","X",0.0786887140181583,0.0351777329168044,14
"syd","1 Day","New","syd_New_1 Day","TG e","0",0.396799361913342,0.026722391050911,13
"syd","1 Day","New","syd_New_1 Day","TG e","1",0.568716042049088,0.0477998623983873,13
"syd","1 Day","New","syd_New_1 Day","TG e","X",0.0344845960375705,0.0233293154045923,13
"syd","1 Day","Old","syd_Old_1 Day","TG e","0",0.436166414078808,0.0275365544092551,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","1",0.517519840757038,0.0509351273423931,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","X",0.0463137451641539,0.0268293303484151,17
"syd","19 Day","New","syd_New_19 Day","TG e","0",0.438556474823804,0.0664835757776484,15
"syd","19 Day","New","syd_New_19 Day","TG e","1",0.353759704616051,0.051616602477694,15
"syd","19 Day","New","syd_New_19 Day","TG e","X",0.207683820560145,0.0688789880755662,15
"syd","19 Day","Old","syd_Old_19 Day","TG e","0",0.518176436313168,0.0406484372820612,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","1",0.387716953645055,0.0682541696742874,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","X",0.0941066100417777,0.0334598210434029,14
