"Class","SubClass","Category_Excess","Day1_Excess","Day19_Excess","Category_Deficit","Day1_Deficit","Day19_Deficit"
"ELNL","TG e","M1_M1_L0"," 3.8 ± 0.7*** (32.4)"," 2.2 ± 0.9 (13.5)","M1_M1_M1&&M1_L0_L0"," 0.0 ± 0.0*** (-6.6)&& 0.0 ± 0.0*** (-6.9)"," 0.0 ± 0.0*** (-6.8)&& 0.0 ± 0.0*** (-5.9)"
"ELPL","PC e","S1_L0"," 2.0 ± 0.0*** (50)"," 2.0 ± 0.0*** (50)","S1_S1&&L0_L0"," 0.0 ± 0.0*** (-25)&& 0.0 ± 0.0*** (-25)"," 0.0 ± 0.0*** (-25)&& 0.0 ± 0.0*** (-25)"
"ELPL","PE e","S0_LX&&M1_M1&&M1_L0&&MX_L0"," 3.5 ± 0.1*** (35.4)&& 7.6 ± 0.4*** (5.5)&& 1.7 ± 0.1*** (2.3)&& 5.5 ± 0.1*** (25)"," 5.5 ± 0.2*** (29.7)&& 2.8 ± 0.1*** (13.2)&& 1.2 ± 0.0*** (2.3)&& 4.5 ± 0.2*** (21)","S0_MX&&S0_L0&&M1_LX&&MX_LX&&L0_LX"," 0.0 ± 0.0*** (-7.6)&& 0.0 ± 0.0*** (-9)&& 0.0 ± 0.0*** (-5.2)&& 0.0 ± 0.0*** (-8.8)&& 0.0 ± 0.0*** (-10.4)"," 0.0 ± 0.0*** (-5.4)&& 0.0 ± 0.0*** (-7.3)&& 0.0 ± 0.0*** (-9.8)&& 0.0 ± 0.0*** (-5.4)&& 0.0 ± 0.0*** (-7.3)"
"ELPL","PE p","S0_L0&&S0_LX&&M0_M1"," 2.7 ± 0.1*** (18.8)&& 2.7 ± 0.1*** (28.3)&& 8.1 ± 0.2*** (11.3)"," 2.4 ± 0.0*** (26.5)&& 2.4 ± 0.1*** (22)&&11.5 ± 0.3*** (12.7)","S0_S0&&S0_M0&&L0_LX"," 0.0 ± 0.0*** (-14.2)&& 0.0 ± 0.0*** (-9.3)&& 0.0 ± 0.0*** (-6.8)"," 0.0 ± 0.0*** (-17.1)&& 0.0 ± 0.0*** (-7.2)&& 0.0 ± 0.0*** (-8.5)"
