"Class","SubClass","Category_Excess","Day1_Excess","Day19_Excess","Category_Deficit","Day1_Deficit","Day19_Deficit"
"NL","DG","S_L"," 7.8 ± 3.1~ (6.4)"," 5.9 ± 0.8*** (7)","S_M"," 0.0 ± 0.0*** (-6.1)"," 0.0 ± 0.0*** (-6.6)"
"PL","CL","S_M_M_L&&M_M_M_M"," 5.7 ± 0.4*** (16.6)&& 1.2 ± 0.0*** (11.3)"," 7.6 ± 0.6*** (14)&& 1.2 ± 0.0*** (11.1)","S_M_M_M&&M_M_M_L"," 0.0 ± 0.0*** (-13.4)&& 0.5 ± 0.0*** (-9.9)"," 0.0 ± 0.0*** (-12)&& 0.3 ± 0.0*** (-10.6)"
"PL","PG","S_L&&M_M"," 9.7 ± 0.9*** (18.4)&& 1.3 ± 0.0*** (16.4)","10.6 ± 0.7*** (17.1)&& 1.2 ± 0.0*** (15.4)","S_M&&M_L"," 0.0 ± 0.0*** (-16.3)&& 0.0 ± 0.0*** (-16.3)"," 0.0 ± 0.0*** (-15.4)&& 0.0 ± 0.0*** (-15.4)"
"ELNL","TG e","M_M_L"," 2.4 ± 0.3*** (41.8)"," 1.6 ± 0.3~ (25.8)","M_L_L"," 0.0 ± 0.0*** (-10.9)"," 0.0 ± 0.0*** (-11.3)"
"ELPL","PC e","S_L"," 2.0 ± 0.0*** (50)"," 2.0 ± 0.0*** (50)","S_S&&L_L"," 0.0 ± 0.0*** (-25)&& 0.0 ± 0.0*** (-25)"," 0.0 ± 0.0*** (-25)&& 0.0 ± 0.0*** (-25)"
"ELPL","PE e","S_L&&M_L"," 2.1 ± 0.0*** (26.4)&& 1.7 ± 0.0*** (17.4)"," 2.6 ± 0.1*** (22.4)&& 1.2 ± 0.0*** (6.9)","S_M&&L_L"," 0.0 ± 0.0*** (-14.1)&& 0.0 ± 0.0*** (-21.9)"," 0.0 ± 0.0*** (-15.8)&& 0.0 ± 0.0*** (-14.6)"
"ELPL","PE p","S_L&&M_M"," 2.7 ± 0.0*** (46.9)&& 4.1 ± 0.1*** (18.6)"," 2.4 ± 0.0*** (48.5)&& 5.8 ± 0.1*** (14.3)","S_S&&S_M&&M_L&&L_L"," 0.0 ± 0.0*** (-14.2)&& 0.0 ± 0.0*** (-18.6)&& 0.0 ± 0.0*** (-18.6)&& 0.0 ± 0.0*** (-14.2)"," 0.0 ± 0.0*** (-17.1)&& 0.0 ± 0.0*** (-14.3)&& 0.0 ± 0.0*** (-14.3)&& 0.0 ± 0.0*** (-17.1)"
