"Class","SubClass","Category_Excess","Day1_Excess","Day19_Excess","Category_Deficit","Day1_Deficit","Day19_Deficit"
"ELNL","TG e","M_M_L","2.4 ±0.3*** (41.8)","1.6 ±0.3~ (25.8)","M_L_L","0.0 ±0.0*** (-10.9)","0.0 ±0.0*** (-11.3)"
"ELPL","PC e","S_L","2.0 ±0.0*** (50)","2.0 ±0.0*** (50)","S_S&&L_L","0.0 ±0.0*** (-25)&&0.0 ±0.0*** (-25)","0.0 ±0.0*** (-25)&&0.0 ±0.0*** (-25)"
"ELPL","PE e","S_L&&M_L","2.1 ±0.0*** (26.4)&&1.7 ±0.0*** (17.4)","2.6 ±0.1*** (22.4)&&1.2 ±0.0*** (6.9)","S_M&&L_L","0.0 ±0.0*** (-14.1)&&0.0 ±0.0*** (-21.9)","0.0 ±0.0*** (-15.8)&&0.0 ±0.0*** (-14.6)"
"ELPL","PE p","S_L&&M_M","2.7 ±0.0*** (46.9)&&4.1 ±0.1*** (18.6)","2.4 ±0.0*** (48.5)&&5.8 ±0.1*** (14.3)","S_S&&S_M&&M_L&&L_L","0.0 ±0.0*** (-14.2)&&0.0 ±0.0*** (-18.6)&&0.0 ±0.0*** (-18.6)&&0.0 ±0.0*** (-14.2)","0.0 ±0.0*** (-17.1)&&0.0 ±0.0*** (-14.3)&&0.0 ±0.0*** (-14.3)&&0.0 ±0.0*** (-17.1)"
